Symbol,Exchange,Quandl Code,Name,Session Type,Active,Terminal Point Value,Full Point Value,Currency,Contract Size,Units,Minimum Tick Value,Tick Value,Delievery Months,Start Date,Trading Times,Additional Notes
AU,SHFE,SHFE/AU,Gold,Active,1,10,1000,CNY,1000 g,CNY/g,1,10,FGHJKMNQUVXZ,1/17/2008,09:00 - 15:00,
AW,CME,CME/AW,DJ UBS Commodity Index-CBT,Active,1,10,100,USD,100 x Index,points,1,10,HMUZ,10/16/2006,08:15 - 13:30,
AXF,LIFFE,LIFFE/AXF,AEX Dividend Index-LIFFE,Active,1,2,200,EUR,EUR 200 x Index,points,1,2,Z,10/16/2012,08:00 - 18:15,
B,ICE,ICE/B,Brent Crude -(IPE),Active,1,10,1000,USD,1000 barrels,USD/barrel,1,10,FGHJKMNQUVXZ,6/23/1988,01:00 - 22:00,
B,ICE,ICE/B,Brent Crude -(IPE),Active,1,10,1000,USD,1000 Bbl,USD/Bbl,1,10,FGHJKMNQUVXZ,9/9/2003,20:00 - 09:45,
B0,CME,CME/B0,Mont Belvieu LDH Propane (OPIS) Swap Futures-CLEAR,Active,1,0.42,42000,USD,42000 gallons,USD/gal,1,0.42,FGHJKMNQUVXZ,1/28/2010,18:00 - 17:15,
B4,CME,CME/B4,Algonguin NGas Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBTU,$/mmBTU,25,6.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
B6,CME,CME/B6,PJM Northern Illinois Hub Real-Time Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
BB,NZFE,NZFE/BB,90 Day New Zealand Bank Bills (Day+Night)-NZFE,Active,1,24,2400,NZD,NZD 1000000,NZD/bas pt,1,24,FGHJKMNQUVXZ,9/18/1992,08:30 - 07:00,
BB,CME,CME/BB,Brent Crude Financ.-NYMEX,Active,1,10,1000,USD,1000 tonnes,USD/tonne,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
BB,SFE,SFE/BB,90 Day New Zealand Bank Bills-NZFE,Active,1,24,2400,NZD,NZD 1000000,NZD / bas pt,1,24,FGHJKMNQUVXZ,3/26/2004,08:30 - 16:30,
BK,CME,CME/BK,WTI-Brent Calendar Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,FGHJKMNQUVXZ,10/22/2008,18:00 - 17:15,
BO,CME,CME/BO,Soybean Oil-CBT,Active,1,6,600,USD,60000 lbs,cents/lb,1,6,FHKNQUVZ,7/17/1950,09:30 - 13:15,OHLC current day cash pricing started January 18 1984.
BO,CME,CME/BO,Soybean Oil-CBT,Active,1,6,600,USD,60000lb,cents/lb,1,6,FHKNQUVZ,3/1/1996,18:00 - 13:15,
BP,CME,CME/BP,British Pound-CME,Active,1,6.25,62500,USD,GBP62500,USD/GBP,1,6.25,HMUZ,7/13/1992,07:20 - 14:00,
BR,CME,CME/BR,Brazilian Real-CME,Active,1,10,100000,USD,BRL 100000,USD/BRL,1,10,FGHJKMNQUVXZ,11/8/1995,07:20 - 14:00,
BR,CME,CME/BR,Brazilian Real-CME w/5 digits precision,Active,1,1,100000,USD,BRL 100000,USD/BRL,1,1,FGHJKMNQUVXZ,11/8/1995,07:20 - 14:00,
BY,CME,CME/BY,WTI-Brent (ICE) Bullet Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,HMUZ,7/31/2009,18:00 - 15:15,
BZ,CME,CME/BZ,Benzene-CME,Active,0,42,42000,USD,42000xDeWittBenzeneIdx,USD/gal,1,42,FGHJKMNQUVXZ,10/19/2001,08:30 - 14:15,
BZ,CME,CME/BZ,Brent Crude Last Day,Active,1,10,1000,USD,1000 bbl,$/bbl,1,10,FGHJKMNQUVXZ,7/31/2007,18:00 - 17:15,
C,CME,CME/C,Corn-CBT,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,HJKMUZ,1/2/1947,09:30 - 13:15,Prior to 19980101 Volume and Open Interest are given in 1000's of bushels rather than contracts.
C,CME,CME/C,Corn-CBT,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,HJKMUZ,3/1/1996,18:00 - 13:15,
C,ICE,ICE/C,ECX EUA Emissions-ICE(IPE),Active,1,10,1000,EUR,1000 tonnes,EUR/tonne,1,10,HJKMUZ,12/6/2005,08:00 - 17:00,
C0,CME,CME/C0,Mont Belvieu Ethane (OPIS) Swap Futures-CLEAR,Active,1,0.42,42000,USD,42000 gallons,USD/gal,1,0.42,FGHJKMNQUVXZ,2/2/2010,18:00 - 17:15,
CB,CME,CME/CB,Butter-Cash Settled -CME,Active,1,2,200,USD,20000 lbs,USD/100 lbs,2.5,5,FGHJKMNQUVXZ,9/19/2005,17:00 - 16:00,
CC,ICE,ICE/CC,Cocoa (Floor trading only)-CSCE,Active,1,10,10,USD,10 tonnes,USD/tonne,1,10,HKNUZ,12/30/1965,09:30 - 15:00,Prior to the Dec 1980 contract Cocoa's contract size was 30k lbs and quoted in cents/lb. CSI prices for this period are converted to $/ton using the multiplier 0.220462.   Because of certain circumstances there is no cash data available for Cocoa from Aug 29 1975 thru Nov 3 1975 May 23 1977 thru Aug 22 1977 and Sep 26 1977 thru Jan 3 1983.  From Oct 30 1965 to Jan 4 1983 the cash price basis was Ghana it then changed to Ivory Coast.
CC,ICE,ICE/CC,Cocoa-CSCE,Active,1,10,10,USD,10 tonnes,USD/tonne,1,10,HKNUZ,3/29/2007,01:30 - 15:15,
CC,ICE,ICE/CC,Cocoa-CSCE,Active,1,10,10,USD,10 tonnes,USD/tonne,1,10,HKNUZ,12/30/1965,01:30 - 15:15,Data before 20070329 does not include the electronic sessions.
CD,CME,CME/CD,Canadian Dollar-CME,Active,1,10,100000,USD,CAD 100000,USD/CAD,1,10,HMUZ,5/16/1972,17:00 - 16:00,Beginning with Jun 1973 the IMM Exchange changed the contract size from 200000 ($CD) to 100000 ($CD) for all contracts traded by effecting a 2:1 split on all outstanding contracts.   OHL prices became available on July 2 1979.  These prices are the Interbank Spot prices opening at 7am central and closing at 2:30pm central time.
CD,CME,CME/CD,Canadian Dollar-CME,Active,1,10,100000,USD,CAD100000,USD/CAD,1,10,HMUZ,7/13/1992,07:20 - 14:00,
CER,ICE,ICE/CER,Carbon Certified Emission Reduction-ICE,Active,1,10,1000,EUR,1000 metric tons,EUR/tonne,1,10,HJKMUZ,3/28/2008,07:00 - 17:00,
CI,ICE,ICE/CI,Continuous Commodity Index(CRB)-ICE(NYFE),Active,0,5,500,USD,$500 x Index,points,5,25,FGHJKMNQUVXZ,6/12/1986,09:40 - 14:40,Prior to the 11/96 contract CRB Index traded 3579 and 12. Prior to the 11/96 contract CRB Index traded 3579 and 12.
CI,CME,CME/CI,Natural Gas-CIG Rocky Mountain-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,4/20/2004,15:15 - 14:30,
CL,CME,CME/CL,Crude Oil-Light-NYMEX,Active,1,10,1000,USD,1000 barrels,USD/barrel,1,10,FGHJKMNQUVXZ,3/30/1983,18:00 - 17:15,
CONF,EUREX,EUREX/CONF,Swiss Govt Bond(10Yr)-(SOFFEX)-EUREX,Active,1,10,1000,CHF,CHF 100000,percent,1,10,HMUZ,5/29/1992,08:30 - 17:00,
CS,CME,CME/CS,WTI Calendar Spread-CLEAR,Active,1,10,1000,USD,1000 Bbl,USD/Bbl,1,10,FGHJKMNQUVXZ,8/28/2003,,
CSC,CME,CME/CSC,Cash Settled Cheese -CME,Active,1,20,20000,USD,20000 pounds,US cents/pound,1,20,FGHJKMNQUVXZ,7/13/2010,17:00 - 16:00,
CT,ICE,ICE/CT,Cotton #2 (Floor trading only)-NYCE,Active,1,5,500,USD,50000 lbs,cents/lb,1,5,HKNVZ,3/22/1967,10:15 - 14:40,On Aug 1 1986 the 1985 Farm Bill was implemented.  As a result cotton prices dropped from the government loan rate to the world price basis.  Due to a computer problem at the exchange no volume and open interest was available on Sept. 4 1998.  An average of the volume and open interest from the day before and the day after has been entered in its place.
CT,ICE,ICE/CT,Cotton #2-NYCE,Active,1,5,500,USD,50000 lbs,cents/pound,1,5,HKNVZ,3/29/2007,01:30 - 15:15,
CT,ICE,ICE/CT,Cotton #2-NYCE,Active,1,5,500,USD,50000 lbs,cents/pound,1,5,HKNVZ,3/22/1967,01:30 - 15:15,Data before 20070329 does not include the electronic sessions.
CU,SHFE,SHFE/CU,Copper-SHFE,Active,1,5,5,CNY,5 tonne,CNY/tonne,10,50,FGHJKMNQUVXZ,12/11/2003,09:00 - 15:00,
CU,ICE,ICE/CU,Columbian Peso-FINEX,Active,0,10,1000000,USD,100000000 COP,USD/100 COP,1,10,FGHJKMNQUVXZ,1/16/2007,03:00 - 15:00,
CU,CME,CME/CU,Chicago Ethanol Swap (Platts),Active,1,4.2,42000,USD,42000 gal,USD/gal,1,4.2,FGHJKMNQUVXZ,3/18/2008,18:00 - 17:15,
CY,CME,CME/CY,Brent Calendar Swap,Active,1,10,1000,USD,1000 bbl,$/bbl,1,10,FGHJKMNQUVXZ,4/10/2006,18:00 - 15:15,
CZ,CME,CME/CZ,Natural Gas-Transco Zone 3 Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,FGHJKMNQUVXZ,5/24/2006,,
D0,CME,CME/D0,Mont Belvieu Normal Butane (OPIS) Swap Futures-CLEAR,Active,1,0.42,42000,USD,42000 gallons,USD/gal,1,0.42,FGHJKMNQUVXZ,2/12/2010,18:00 - 17:15,
D2,CME,CME/D2,NYISO Zone G Day-Ahead Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
D4,CME,CME/D4,NYISO Zone J Day-Ahead Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
D9,CME,CME/D9,PJM ComEd Zone Off-Peak Day-Ahead LMP,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
DA,CME,CME/DA,Milk-Class III Fluid-CME,Active,1,20,2000,USD,200000 lbs.,USD/CWT,1,20,FGHJKMNQUVXZ,1/11/1996,08:00 - 13:10,
DB,CME,CME/DB,Butter-CME,Active,0,4,400,USD,40000 lbs,cents/lb,2.5,10,FGHJKMNQUVXZ,9/5/1996,08:00 - 13:10,
DB,CME,CME/DB,Brent-Dubai Swap,Active,1,10,1000,USD,1000 bbl,$/bbl,1,10,FGHJKMNQUVXZ,5/22/2007,18:00 - 15:15,CSI offsets all non-zero values by 50000. CSI offsets all non-zero values by 50000.
DC,CME,CME/DC,Dubai Crude Cal Swap-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/barrel,1,10,HJKMNQUVXZ,10/12/2006,18:00 - 17:15,
DJ,CME,CME/DJ,Dow Jones Industrial Index-CBT,Active,1,10,10,USD,$10 x Index,points,1,10,HMUZ,10/6/1997,15:30 - 15:15,The DJIA high and low values can be calculated as 'theoretical' or 'actual'. The 'theoretical' method averages the highs and lows for each of the member stocks at the end of the day.  The 'actual' method averages the highs and lows of all member stocks approximately every second and uses the highest and lowest of these numbers at the end of the day.  Prior to 19920102 the cash values given have 'theoretical' highs and lows since the necessary tick data was not available to compute the 'actual'.
DK,CME,CME/DK,Milk-Class IV-CME,Active,1,20,2000,USD,200000 lbs,$/hundredweight,1,20,FGHJKMNQUVXZ,7/10/2000,08:00 - 13:10,
DX,ICE,ICE/DX,U.S. Dollar Index-FINEX,Active,1,1,1000,USD,$1000 x Index,points,5,5,HMUZ,11/20/1985,08:00 - 13:00,Before the September 1992 contract the contract size was $500 X Index.
DX,ICE,ICE/DX,US Dollar Index -FINEX,Active,1,1,1000,USD,$1000 x Index,points,5,5,HMUZ,6/20/2007,20:00 - 16:15,
DX,ICE,ICE/DX,U.S. Dollar Index-FINEX,Active,1,1,1000,USD,$1000 x Index,points,5,5,HMUZ,11/20/1985,20:00 - 16:15,Data before 20070620 does not include the electronic sessions.
DY,CME,CME/DY,Dry Whey,Active,1,0.44,440,USD,44000 lb,USD 0.01/CWT,25,11,FGHJKMNQUVXZ,5/22/2007,09:40 - 13:10,
E4,CME,CME/E4,PJM Western Hub Off-Peak Calendar-Month Day-Ahead LMP Swap-CLEAR,Active,1,0.05,5,USD,5 MWh,$/MWh,5,0.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
E5,CME,CME/E5,Argus LLS Vs. WTI (Argus),Active,1,10,1000,USD,1000 barrels,USD/bbl,1,10,FJKMNQUVXZ,8/13/2009,18:00 - 17:15,
E7,CME,CME/E7,Euro E-mini -CME,Active,1,6.25,62500,USD,EUR 62500,USD/EUR,1,6.25,MU,10/8/1999,14:30 - 14:00,
EC,CME,CME/EC,Euro-CME,Active,1,12.5,125000,USD,EUR125000,USD/EUR,1,12.5,HMUZ,1/4/1999,07:20 - 14:00,Data before January 4 1999 represents D-mark (day only) data(#261) which has been multiplied by the D-mark/Euro rate of 1.95583 and added in order to create a longer data series for analysis purposes.
EC,CME,CME/EC,Euro-CME,Active,1,12.5,125000,USD,EUR 125000,USD/EUR,1,12.5,HMUZ,5/19/1998,14:30 - 14:00,Data before January 4 1999 represents D-mark (day only) data(#261) which has been multiplied by the D-mark/Euro rate of 1.95583 and added in order to create a longer data series for analysis purposes. Data before January 4 1999 represents D-mark (day only) data(#261) which has been multiplied by the D-mark/Euro rate of 1.95583 and added in order to create a longer data series for analysis purposes. Data before January 4 1999 represents D-mark (day only) data(#261) which has been multiplied by the D-mark/Euro rate of 1.95583 and added in order to create a longer data series for analysis purposes. Data before January 4 1999 represents D-mark (day only) data(#261) which has been multiplied by the D-mark/Euro rate of 1.95583 and added in order to create a longer data series for analysis purposes.
ED,CME,CME/ED,Eurodollar-3 Mth-Globex-CME,Active,1,2.5,2500,USD,"$1,000,000 ",USD/bas pt,2.5,6.25,HJKMNQUZ,12/9/1981,07:20 - 14:00,Eurodollar began trading serial months (1245781011) as switching months on 951017. Eurodollar began trading serial months (1245781011) as switching months on 951017.
ED,CME,CME/ED,Eurodollar-3 Mth-CME,Active,1,2.5,2500,USD,"$1,000,000 ",USD/bas pt,2.5,6.25,HJKMNQUZ,8/17/1992,07:20 - 14:00,
ED,LIFFE,LIFFE/ED,Eurodollar,Active,1,0.25,2500,USD,USD1000000,USD/bas pt,25,6.25,HJKMNQUZ,2/25/2013,19:16 - 17:00,
EJ,ICE,ICE/EJ,EUR/JPY  --> moved to #1689,Active,0,100,100000,JPY,EUR 100000,JPY,5,500,FGHJKMNQUVXZ,11/20/1998,19:00 - 15:00,
EJ,CME,CME/EJ,MISO Cinergy Off-Peak Electricity,Active,1,9.7,970,USD,2.5Mw X off-peak hours (880-1060Mwh),$/Mwh,5,48.5,FGHJKMNQUVXZ,8/9/2007,18:00 - 17:15,
EL,CME,CME/EL,Euroyen 3 Mth (LIBOR)-CME,Active,0,1250,1250000,JPY,JPY 100000000,Points,1,1250,HMUZ,4/1/1999,07:20 - 14:00,
EM,CME,CME/EM,LIBOR(1Mth)-CME,Active,1,2.5,2500,USD,"$3,000,000 ",USD/bas pt,2.5,6.25,FGHJKMNQUVXZ,4/5/1990,08:20 - 15:00,
EM,CME,CME/EM,MISO Cinergy Peak Electricity,Active,1,8.4,840,USD,40Mwh per peak day (760-920Mwh),$/Mwh,5,42,FGHJKMNQUVXZ,8/9/2007,18:00 - 17:15,
EN,CME,CME/EN,Naptha Crack Spread,Active,1,10,1000,USD,1000 tonnes,USD / tonne,1,10,FGHJKMNQUVXZ,7/31/2009,18:00 - 15:15,
EPL,CME,CME/EPL,Euro/Polish Zloty-CME,Active,1,5,500000,EUR,500000 PLN,points,2,10,FHKX,11/16/2004,17:00 - 16:00,
ERU,ICE,ICE/ERU,ECX ERU,Active,1,10,1000,EUR,1000 ERU,EUR/tonne,1,10,HZ,2/8/2011,07:00 - 17:00,
ES,CME,CME/ES,S&P 500 Index-E-mini -CME,Active,1,0.5,50,USD,$50 x Index,points,25,12.5,HMUZ,9/9/1997,15:45 - 15:15,
ES,CME,CME/ES,E-Mini S&P 500,Active,1,0.5,50,USD,$50 x Index,Points,25,12.5,HMUZ,2/25/2013,17:00 - 16:15,
EW,CME,CME/EW,East-West Fuel Oil Spread Swap,Active,1,10,1000,USD,1000 tonnes,USD / tonne,1,10,FGHJKMNQUVXZ,7/31/2009,18:00 - 15:15,
EY,CME,CME/EY,Euroyen-3Mth-CME,Active,1,250,250000,JPY,JPY 100000000,JPY/bas pt,5,1250,HMUZ,3/6/1996,17:00 - 16:00,
F2MX,EUREX,EUREX/F2MX,DAX Midcap Index-DTB,Active,1,0.5,5,EUR,EUR 5 x Index,points,1,0.5,HMUZ,9/23/1996,09:30 - 16:00,#443 had point value of DM1 and contract size of DM10 X Index for all contracts up to and including 12/1999 #443 had point value of DM1 and contract size of DM10 X Index for all contracts up to and including 12/1999
F5,CME,CME/F5,PJM PPL Zone Off-Peak Day-Ahead LMP,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
FBTP,EUREX,EUREX/FBTP,Italian Govt Bond Long-Term-BTP,Active,1,10,1000,EUR,EUR 100000,points,1,10,HMUZ,9/1/2009,08:00 - 19:00,
FBTP,EUREX,EUREX/FBTP,Italian Govt Bond Long-Term-BTP,Active,1,10,1000,EUR,EUR 100000,points,1,10,HMUZ,9/1/2009,08:00 - 19:00,
FBTS,EUREX,EUREX/FBTS,Short Euro BTP-EUREX,Active,1,10,1000,EUR,EUR 100000,points,1,10,HMUZ,1/12/2011,08:00 - 19:00,
FBTS,EUREX,EUREX/FBTS,Short Euro BTP-EUREX,Active,1,10,1000,EUR,EUR 100000,points,1,10,HMUZ,1/12/2011,08:00 - 19:00,
FC,CME,CME/FC,Cattle-Feeder-CME,Active,1,5,500,USD,50000 lbs,cents/lb,2.5,12.5,FHJKQUVX,11/30/1971,08:45 - 12:45,Prior to May 1 1986 the cash price basis for was Oklahoma City. From then on the cash price is calculated by Cattle Fax.   Prior to January 1993 the contract size was 44k lbs.
FDAX,EUREX,EUREX/FDAX,Dax Index-EUREX,Active,1,2.5,25,EUR,EUR 25 x Index,points,5,12.5,HMUZ,11/23/1990,09:30 - 16:00,Before the Jan 1999 conversion to the Euro the contract size for CSI# 131 was DEM 100 x Index. Before the Jan 1999 conversion to the Euro the contract size for CSI# 131 was DEM 100 x Index.
FDAX,EUREX,EUREX/FDAX,Dax Index-EUREX,Active,1,2.5,25,EUR,EUR 25 x Index,points,5,12.5,HMUZ,3/7/2006,09:30 - 16:00,
FEF,SGX,SGX/FEF,TSI Iron Ore CFR China (62% Fe Fines) Index,Active,1,1,100,USD,100 tonnes,USD/tonne,1,1,FGHJKMNQUVXZ,11/7/2013,21:00 - 20:00,
FEPP,RMX,RMX/FEPP,Potatoes-Processing-RMX,Active,1,2.5,250,EUR,25000 kg,EUR/100 kg,10,25,JMX,12/5/2006,09:50 - 16:00,
FESX,EUREX,EUREX/FESX,Euro STOXX 50 Index-EUREX,Active,1,0.1,1,EUR,EUR 10 x Index,points,1,0.1,HMUZ,6/22/1998,10:00 - 22:00,
FESX,EUREX,EUREX/FESX,Dow Jones Euro Stoxx 50 Index-EUREX,Active,1,1,10,EUR,EUR 10 x Index,points,1,1,HMUZ,3/7/2006,10:00 - 22:00,
FEU3,EUREX,EUREX/FEU3,EURIBOR-3 Mth-EUREX,Active,1,2.5,2500,EUR,EUR 1000000,percent,5,12.5,HMUZ,9/18/1998,08:45 - 17:15,
FF,CME,CME/FF,Fed Fund Rate(1Mth)-CBT,Active,1,4.167,4167,USD,"$5,000,000 ",USD/bas pt,2.5,10.4175,FGHJKMNQUVXZ,10/3/1988,17:30 - 16:00,
FF,CME,CME/FF,WTS (Argus) vs. WTI Calendar Spread Swap,Active,1,10,1000,USD,1000 barrels,$/barrel,1,10,FGHJKMNQUVXZ,6/25/2009,18:00 - 17:15,
FGBL,EUREX,EUREX/FGBL,Euro German Bund-EUREX,Active,1,10,1000,EUR,EUR100000,percent,1,10,HMUZ,10/5/1998,08:00 - 22:00,History data from the DTB Long Bund(#132) has been added to #552 in order to give a longer data series for analysis purposes.  The EUREX long bund began trading on Oct. 5 1998 and data prior to that date is actually from CSI #132.
FGBL,EUREX,EUREX/FGBL,Euro German Bund-EUREX,Active,1,10,1000,EUR,EUR 100000,percent,1,10,HMUZ,3/7/2006,08:00 - 22:00,
FGBM,EUREX,EUREX/FGBM,Euro German Bobl-EUREX,Active,1,1,1000,EUR,EUR100000,percent,5,5,HMUZ,10/5/1998,08:00 - 22:00,History data from the DTB Med. Bobl(#288) has been added to #553 in order to give a longer data series for analysis purposes.  The EUREX Euro Bobl began trading on Oct. 5 1998 and data prior to that data is actually from CSI #288.
FGBM,EUREX,EUREX/FGBM,Euro German Bobl-EUREX,Active,1,1,1000,EUR,EUR 100000,percent,5,5,HMUZ,3/7/2006,08:00 - 22:00,
FGBS,EUREX,EUREX/FGBS,Euro German Schatz-EUREX,Active,1,1,1000,EUR,EUR100000,percent,1,1,HMUZ,10/5/1998,08:00 - 19:00,History data from the DTB Schatz(#306) has been added to #554 in order to give a longer data series for analysis purposes.  The EUREX Euro Schatz began trading on Oct. 5 1998 and data prior to that date is actually from CSI #306.
FGBS,EUREX,EUREX/FGBS,Euro German Schatz-EUREX,Active,1,1,1000,EUR,EUR 100000,percent,1,1,HMUZ,3/7/2006,08:00 - 19:00,
FH,CME,CME/FH,WTS (Argus) vs. WTI Trade Month,Active,1,10,1000,USD,1000 barrels,$/barrel,1,10,FGHJKMNQUVXZ,10/22/2008,18:00 - 17:15,
FI,CME,CME/FI,Fuel Oil 1% NWE Crack vs ICE Brent,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,HJKMNQUVXZ,7/31/2009,18:00 - 15:15,
FO,CME,CME/FO,Fuel Oil 3.5% Rdam Crack vs ICE Brent,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,FGHJKMNQUVXZ,7/31/2009,18:00 - 15:15,
FOAM,EUREX,EUREX/FOAM,Mid-Term Euro-OAT (5yr),Active,1,10,1000,EUR,EUR 100000,Percent,1,10,HMUZ,3/11/2013,08:00 - 19:00,
FOAT,EUREX,EUREX/FOAT,Euro-OAT (10yr),Active,1,10,1000,EUR,EUR 100000,Percent,1,10,HMUZ,4/19/2012,08:00 - 19:00,
FP,CME,CME/FP,Natural Gas-Florida XmitZ3 Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,FGHJKMNQUVXZ,5/24/2006,,
FRDX,EUREX,EUREX/FRDX,RDX USD Index,Active,1,0.1,10,USD,USD 10,points,50,5,HMUZ,5/31/2012,08:00 - 22:00,
FS,CME,CME/FS,Fuel Oil Swap Cargo v Barges,Active,1,10,1000,USD,1000 tonnes,USD / tonne,1,10,FGHJKMNQUVXZ,7/31/2009,18:00 - 15:15,
FSMI,EUREX,EUREX/FSMI,Swiss Market Index-EUREX,Active,1,1,10,CHF,CHF 10 x Index,points,1,1,HMUZ,11/9/1990,10:00 - 16:20,Prior to the 12/98 contract the contract size for the SMI (CSI #214) was CHF 50 x index. There was no 10/98 or 11/98 contract. Prior to the 12/98 contract the contract size for the SMI (CSI #214) was CHF 50 x index. There was no 10/98 or 11/98 contract.
FSTX,EUREX,EUREX/FSTX,DJ STOXX 50 Index-EUREX,Active,1,1,10,EUR,EUR 10 x Index,points,1,1,HMUZ,6/22/1998,10:00 - 17:00,
FTDX,EUREX,EUREX/FTDX,TecDAX Index-EUREX,Active,1,0.01,1,EUR,EUR 10 x Index,points,50,0.5,HMUZ,12/1/2005,,
FTDX,EUREX,EUREX/FTDX,TecDAX Index w/ Last in close field,Active,1,0.01,1,EUR,EUR 10 x Index,points,50,0.5,HMUZ,2/14/2014,07:30 - 22:00,
